ASSET_TYPE,ID,NAME,PATH,FALLBACK_RULE
CATEGORY,CAT00001,CIGARETTE,assets/category-icons/CAT00001.png,group -> category -> default
CATEGORY,CAT00002,FLAVOURED BEVERAGES,assets/category-icons/CAT00002.png,group -> category -> default
CATEGORY,CAT00003,FOOD SALES,assets/category-icons/CAT00003.png,group -> category -> default
CATEGORY,CAT00004,IMPORTED LIQUOR,assets/category-icons/CAT00004.png,group -> category -> default
CATEGORY,CAT00005,JUICES/MOCKTAILS,assets/category-icons/CAT00005.png,group -> category -> default
CATEGORY,CAT00006,SALES BEVERAGES,assets/category-icons/CAT00006.png,group -> category -> default
CATEGORY,CAT00007,SALES LIQUOR,assets/category-icons/CAT00007.png,group -> category -> default
CATEGORY,CAT00008,THE HASHTAG OPENER,assets/category-icons/CAT00008.png,group -> category -> default
CATEGORY,CAT00009,BITES & PICKS,assets/category-icons/CAT00009.png,group -> category -> default
CATEGORY,CAT00010,FILLED & FOLDED,assets/category-icons/CAT00010.png,group -> category -> default
CATEGORY,CAT00011,THE UNFORGETTABLES,assets/category-icons/CAT00011.png,group -> category -> default
CATEGORY,CAT00012,CHOPSTICK CHASERS,assets/category-icons/CAT00012.png,group -> category -> default
CATEGORY,CAT00013,THE STEAMING BASKET,assets/category-icons/CAT00013.png,group -> category -> default
CATEGORY,CAT00014,DOUGH & FIRE,assets/category-icons/CAT00014.png,group -> category -> default
CATEGORY,CAT00015,WHEAT & ARBORIO,assets/category-icons/CAT00015.png,group -> category -> default
CATEGORY,CAT00016,SMOKE & BOARDS,assets/category-icons/CAT00016.png,group -> category -> default
CATEGORY,CAT00017,ASIAN STAPLE,assets/category-icons/CAT00017.png,group -> category -> default
CATEGORY,CAT00018,NOODLES & RICE,assets/category-icons/CAT00018.png,group -> category -> default
CATEGORY,CAT00019,THE DESI SOUL,assets/category-icons/CAT00019.png,group -> category -> default
CATEGORY,CAT00020,CLAY & GRAIN,assets/category-icons/CAT00020.png,group -> category -> default
CATEGORY,CAT00021,SWEET INDULGENCE,assets/category-icons/CAT00021.png,group -> category -> default
CATEGORY,CAT00022,ADD-ONS,assets/category-icons/CAT00022.png,group -> category -> default
CATEGORY,CAT00023,CRAFT BEER,assets/category-icons/CAT00023.png,group -> category -> default
CATEGORY,CAT00024,SINGLE MALT,assets/category-icons/CAT00024.png,group -> category -> default
CATEGORY,CAT00025,SCOTCH-I,assets/category-icons/CAT00025.png,group -> category -> default
CATEGORY,CAT00026,BEER (330ML),assets/category-icons/CAT00026.png,group -> category -> default
CATEGORY,CAT00027,APERITIF,assets/category-icons/CAT00027.png,group -> category -> default
CATEGORY,CAT00028,SPIRITS OF THE WORLD,assets/category-icons/CAT00028.png,group -> category -> default
CATEGORY,CAT00029,INDIAN SINGLE MALT,assets/category-icons/CAT00029.png,group -> category -> default
CATEGORY,CAT00030,AMERICAN WHISKEY,assets/category-icons/CAT00030.png,group -> category -> default
CATEGORY,CAT00031,IRISH WHISKEY,assets/category-icons/CAT00031.png,group -> category -> default
CATEGORY,CAT00032,JAPANESE WHISKEY,assets/category-icons/CAT00032.png,group -> category -> default
CATEGORY,CAT00033,TEQUILA,assets/category-icons/CAT00033.png,group -> category -> default
CATEGORY,CAT00034,COGNAC,assets/category-icons/CAT00034.png,group -> category -> default
CATEGORY,CAT00035,RUM,assets/category-icons/CAT00035.png,group -> category -> default
CATEGORY,CAT00036,RUM IMPORTED,assets/category-icons/CAT00036.png,group -> category -> default
CATEGORY,CAT00037,VODKA,assets/category-icons/CAT00037.png,group -> category -> default
CATEGORY,CAT00038,GIN,assets/category-icons/CAT00038.png,group -> category -> default
CATEGORY,CAT00039,INTERNATIONAL RED WINE,assets/category-icons/CAT00039.png,group -> category -> default
CATEGORY,CAT00040,INTERNATIONAL WHITE WINE,assets/category-icons/CAT00040.png,group -> category -> default
CATEGORY,CAT00041,DESSERT & ROSE WINE,assets/category-icons/CAT00041.png,group -> category -> default
