CATEGORY_ID,CATEGORY_NAME,ASSET_PATH,PHOTO_CLASS
"CAT00001","CIGARETTE","assets/category-icons/CAT00001.png","tobacco"
"CAT00002","FLAVOURED BEVERAGES","assets/category-icons/CAT00002.png","cold-beverages"
"CAT00003","FOOD SALES","assets/category-icons/CAT00003.png","main-course"
"CAT00004","IMPORTED LIQUOR","assets/category-icons/CAT00004.png","liquor"
"CAT00005","JUICES/MOCKTAILS","assets/category-icons/CAT00005.png","mocktails"
"CAT00006","SALES BEVERAGES","assets/category-icons/CAT00006.png","soft-drinks"
"CAT00007","SALES LIQUOR","assets/category-icons/CAT00007.png","liquor"
"CAT00008","THE HASHTAG OPENER","assets/category-icons/CAT00008.png","starters"
"CAT00009","BITES & PICKS","assets/category-icons/CAT00009.png","starters"
"CAT00010","FILLED & FOLDED","assets/category-icons/CAT00010.png","wraps"
"CAT00011","THE UNFORGETTABLES","assets/category-icons/CAT00011.png","main-course"
"CAT00012","CHOPSTICK CHASERS","assets/category-icons/CAT00012.png","chinese"
"CAT00013","THE STEAMING BASKET","assets/category-icons/CAT00013.png","thali"
"CAT00014","DOUGH & FIRE","assets/category-icons/CAT00014.png","pizza"
"CAT00015","WHEAT & ARBORIO","assets/category-icons/CAT00015.png","rice"
"CAT00016","SMOKE & BOARDS","assets/category-icons/CAT00016.png","tandoor"
"CAT00017","ASIAN STAPLE","assets/category-icons/CAT00017.png","chinese"
"CAT00018","NOODLES & RICE","assets/category-icons/CAT00018.png","chinese"
"CAT00019","THE DESI SOUL","assets/category-icons/CAT00019.png","main-course"
"CAT00020","CLAY & GRAIN","assets/category-icons/CAT00020.png","tandoor"
"CAT00021","SWEET INDULGENCE","assets/category-icons/CAT00021.png","desserts"
"CAT00022","ADD-ONS","assets/category-icons/CAT00022.png","add-ons"
"CAT00023","CRAFT BEER","assets/category-icons/CAT00023.png","beer"
"CAT00024","SINGLE MALT","assets/category-icons/CAT00024.png","whisky"
"CAT00025","SCOTCH-I","assets/category-icons/CAT00025.png","whisky"
"CAT00026","BEER (330ML)","assets/category-icons/CAT00026.png","beer"
"CAT00027","APERITIF","assets/category-icons/CAT00027.png","cocktails"
"CAT00028","SPIRITS OF THE WORLD","assets/category-icons/CAT00028.png","spirits"
"CAT00029","INDIAN SINGLE MALT","assets/category-icons/CAT00029.png","whisky"
"CAT00030","AMERICAN WHISKEY","assets/category-icons/CAT00030.png","whisky"
"CAT00031","IRISH WHISKEY","assets/category-icons/CAT00031.png","whisky"
"CAT00032","JAPANESE WHISKEY","assets/category-icons/CAT00032.png","whisky"
"CAT00033","TEQUILA","assets/category-icons/CAT00033.png","tequila"
"CAT00034","COGNAC","assets/category-icons/CAT00034.png","brandy"
"CAT00035","RUM","assets/category-icons/CAT00035.png","rum"
"CAT00036","RUM IMPORTED","assets/category-icons/CAT00036.png","rum"
"CAT00037","VODKA","assets/category-icons/CAT00037.png","vodka"
"CAT00038","GIN","assets/category-icons/CAT00038.png","gin"
"CAT00039","INTERNATIONAL RED WINE","assets/category-icons/CAT00039.png","wine"
"CAT00040","INTERNATIONAL WHITE WINE","assets/category-icons/CAT00040.png","wine"
"CAT00041","DESSERT & ROSE WINE","assets/category-icons/CAT00041.png","wine"
"CAT00042","CHAMPAGNE/SPARKLING","assets/category-icons/CAT00042.png","wine"
"CAT00043","DRINK & DRIVE","assets/category-icons/CAT00043.png","mocktails"
"CAT00044","SOFT BEVERAGES","assets/category-icons/CAT00044.png","soft-drinks"
"CAT00045","COCKTAILS - GIN","assets/category-icons/CAT00045.png","cocktails"
"CAT00046","COCKTAILS - RUM","assets/category-icons/CAT00046.png","cocktails"
"CAT00047","COCKTAILS - WHISKEY","assets/category-icons/CAT00047.png","cocktails"
"CAT00048","COCKTAILS - VODKA","assets/category-icons/CAT00048.png","cocktails"
"CAT00049","COCKTAILS - TEQUILA","assets/category-icons/CAT00049.png","cocktails"
"CAT00050","LARGER THAN ALL","assets/category-icons/CAT00050.png","beer"
"CAT00051","ALL TIME FAVORITE","assets/category-icons/CAT00051.png","cocktails"
"CAT00052","CLARIFIED COCKTAIL","assets/category-icons/CAT00052.png","cocktails"
"CAT00053","SHOTS TIME","assets/category-icons/CAT00053.png","spirits"
"CAT00054","ALCOPOPS","assets/category-icons/CAT00054.png","beer"
